"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Company name","0.5","Company name-{DBPedia_5006+DBPedia_7883+Forbes_126+SBTI_1039}","DBPedia_5006+DBPedia_7883+Forbes_126+SBTI_1039","{Charm Communications|Charter Communications|Charter Communications|Chime Communications}","Charm Communications",,
"Company name","1.0","Company name-{DBPedia_8920+SBTI_2773}","DBPedia_8920+SBTI_2773","{Itochu Techno-Solutions|Itochu Techno-Solutions}","Itochu Techno-Solutions",,
"Company name","1.0","Company name-{DBPedia_1587+Forbes_1230}","DBPedia_1587+Forbes_1230","{Alcoa|Alcoa}","Alcoa",,
"Company name","1.0","Company name-{DBPedia_7499+Forbes_1027}","DBPedia_7499+Forbes_1027","{Pegatron|Pegatron}","Pegatron",,
"Company name","1.0","Company name-{DBPedia_5028+Forbes_1360}","DBPedia_5028+Forbes_1360","{Terumo|Terumo}","Terumo",,
"Company name","1.0","Company name-{DBPedia_651+Forbes_691+SBTI_1582}","DBPedia_651+Forbes_691+SBTI_1582","{Ecolab|Ecolab|Ecolab}","Ecolab","true","Ecolab"
"Company name","1.0","Company name-{DBPedia_2269+Forbes_299}","DBPedia_2269+Forbes_299","{UniCredit|UniCredit}","UniCredit",,
"Company name","1.0","Company name-{DBPedia_6324+SBTI_3820}","DBPedia_6324+SBTI_3820","{Next plc|Next plc}","Next plc",,
"Company name","1.0","Company name-{DBPedia_9122+Forbes_757+SBTI_4024}","DBPedia_9122+Forbes_757+SBTI_4024","{Omnicom Group|Omnicom Group|Omnicom Group}","Omnicom Group",,
"Company name","1.0","Company name-{DBPedia_7799+SBTI_5671}","DBPedia_7799+SBTI_5671","{UKG|UKG}","UKG",,
"Company name","0.0","Company name-{DBPedia_5197+SBTI_758}","DBPedia_5197+SBTI_758","{Bolton Group|Bontaz Group}","Bolton Group",,
"Company name","1.0","Company name-{Forbes_1603+SBTI_6012}","Forbes_1603+SBTI_6012","{Workday|Workday}","Workday",,
"Company name","1.0","Company name-{DBPedia_5525+SBTI_4280}","DBPedia_5525+SBTI_4280","{PostNL|PostNL}","PostNL",,
"Company name","1.0","Company name-{DBPedia_7485+Forbes_1966}","DBPedia_7485+Forbes_1966","{VEON|VEON}","VEON",,
"Company name","1.0","Company name-{DBPedia_3656+SBTI_6137}","DBPedia_3656+SBTI_6137","{Ziff Davis|Ziff Davis}","Ziff Davis",,
"Company name","0.0","Company name-{DBPedia_1244+SBTI_706}","DBPedia_1244+SBTI_706","{BioMérieux|bioMerieux}","BioMérieux",,
"Company name","1.0","Company name-{DBPedia_10387+SBTI_1305}","DBPedia_10387+SBTI_1305","{Cushman & Wakefield|Cushman & Wakefield}","Cushman & Wakefield",,
"Company name","0.6666666666666666","Company name-{DBPedia_4603+Forbes_120+SBTI_5445}","DBPedia_4603+Forbes_120+SBTI_5445","{Thermo Fisher Scientific|Thermo Fisher Scientific|Thermo Fisher Scientific Inc.}","Thermo Fisher Scientific",,
"Company name","1.0","Company name-{DBPedia_6241+Forbes_442}","DBPedia_6241+Forbes_442","{Sempra|Sempra}","Sempra",,
"Company name","0.0","Company name-{Forbes_1148+SBTI_2624}","Forbes_1148+SBTI_2624","{Impala Platinum Holdings|Impala Platinum Holdings Limited}","Impala Platinum Holdings",,
"Company name","1.0","Company name-{DBPedia_4941+Forbes_1481}","DBPedia_4941+Forbes_1481","{Atmos Energy|Atmos Energy}","Atmos Energy",,
"Company name","1.0","Company name-{DBPedia_216+Forbes_1315}","DBPedia_216+Forbes_1315","{Electronic Arts|Electronic Arts}","Electronic Arts",,
"Company name","1.0","Company name-{DBPedia_4747+Forbes_420}","DBPedia_4747+Forbes_420","{Baidu|Baidu}","Baidu",,
"Company name","1.0","Company name-{DBPedia_1207+SBTI_5732}","DBPedia_1207+SBTI_5732","{Ushio, Inc.|USHIO INC.}","USHIO INC.",,
"Company name","0.6666666666666666","Company name-{DBPedia_236+DBPedia_4667+SBTI_2072}","DBPedia_236+DBPedia_4667+SBTI_2072","{GEO Group|GEA Group|GEA Group}","GEA Group",,
"Company name","1.0","Company name-{Forbes_1954+SBTI_2425}","Forbes_1954+SBTI_2425","{Hera|Hera}","Hera",,
"Company name","1.0","Company name-{DBPedia_4405+Forbes_1285}","DBPedia_4405+Forbes_1285","{Hydro One|Hydro One}","Hydro One",,
"Company name","1.0","Company name-{Forbes_171+SBTI_1703}","Forbes_171+SBTI_1703","{ENGIE|ENGIE}","ENGIE",,
"Company name","0.0","Company name-{DBPedia_2137+SBTI_6051}","DBPedia_2137+SBTI_6051","{Yamabiko Corporation|YAMABISHI Corporation}","Yamabiko Corporation",,
