UID,company,label,industries,keyPeople,founders,hqLocationCountry,revenue,assets,netIncome,foundingYear,type,keyPeopleFoundersCombined
DBPedia_447,http://dbpedia.org/resource/Bank_of_Beijing,Bank of Beijing,,,,,365666200000,17032731596000.0,138953156000.0,1996.0,Public company,
DBPedia_448,http://dbpedia.org/resource/Zscaler,Zscaler,"Computer security, Internet security, Network security","Amit Sinha, Brendan Castle, Dali Rajic, Remo Canessa, Jay Chaudhry",,,1090000000,2830000000.0,-390000000.0,2007.0,Public company,"Amit Sinha, Brendan Castle, Dali Rajic, Remo Canessa, Jay Chaudhry"
DBPedia_449,http://dbpedia.org/resource/Aimco,Aimco,Real estate investment trust,"Robert A. Miller, ChairmanWesley W. Powell, President & CEOH. Lynn C. Stanfield, CFO",Terry Considine,,151000000,1840000000.0,-5000000.0,1994.0,Public company,"CFO, ChairmanWesley W. Powell, President & CEOH. Lynn C. Stanfield, Robert A. Miller, Terry Considine"
DBPedia_450,http://dbpedia.org/resource/Airbus,Airbus,"Aerospace manufacturer, Arms industry","René Obermann, Guillaume Faury","Felix Kracht, Franz Josef Strauss, Henri Ziegler, Roger Béteille",,49009318400,100603020800.0,3918865920.0,1970.0,Public company,"Felix Kracht, Franz Josef Strauss, Guillaume Faury, Henri Ziegler, René Obermann, Roger Béteille"
DBPedia_451,http://dbpedia.org/resource/Íslandsbanki,Íslandsbanki,Bank,"Birna Einarsdóttir, Friðrik Klemenz Sophusson",,,44189000000,1036000000000.0,13226000000.0,2008.0,Private company,"Birna Einarsdóttir, Friðrik Klemenz Sophusson"
DBPedia_452,http://dbpedia.org/resource/Österreichische_Post,Österreichische Post,Logistics,"Edith Hlawati, Georg Pölzl",,,1822225664,1573185024.0,155063040.0,1999.0,Aktiengesellschaft,"Edith Hlawati, Georg Pölzl"
DBPedia_453,http://dbpedia.org/resource/BNP_Paribas,BNP Paribas,Financial services,"Jean Lemierre, Jean-Laurent Bonnafé , Michel Pébereau, Baudouin Prot, Thierry Laborde, Renaud Dumora, Yann Gérardin, Laurent David",,,43417651200,2443417600000.0,8927872000.0,1872.0,S.A. (corporation),"Jean Lemierre, Jean-Laurent Bonnafé , Michel Pébereau, Baudouin Prot, Thierry Laborde, Renaud Dumora, Yann Gérardin, Laurent David"
DBPedia_454,http://dbpedia.org/resource/Banco_Safra,Banco Safra,Finance and Insurance,"Carlos Alberto Vieira,",,,5900000000,55400000000.0,575100000.0,1955.0,Privately held company,"Carlos Alberto Vieira,"
DBPedia_455,http://dbpedia.org/resource/Banjalučka_Pivara,Banjalučka Pivara,Beverages,"Ilija Šetka, Nicholas Penny",,,21990758,24838279.0,2941498.0,1873.0,Public company,"Ilija Šetka, Nicholas Penny"
DBPedia_456,http://dbpedia.org/resource/Bumitama_Agri,Bumitama Agri,Food processing industry,Lim Gunawan Hariyanto,,,634000000,1270000000.0,95000000.0,1996.0,Public company,Lim Gunawan Hariyanto
DBPedia_457,http://dbpedia.org/resource/C._H._Robinson,C. H. Robinson,"Logistics, Transportation","John P. Wiehoff, Robert C. Biesterfeld Jr.",,,23102000000,7028000000.0,844.0,1905.0,Public company,"John P. Wiehoff, Robert C. Biesterfeld Jr."
DBPedia_458,http://dbpedia.org/resource/Cemex,Cemex,Building materials,"Fernando A. González, Rogelio Zambrano Lozano",,,13000000000,27400000000.0,1470000000.0,1906.0,S.A. (corporation),"Fernando A. González, Rogelio Zambrano Lozano"
DBPedia_459,http://dbpedia.org/resource/Toll_Brothers,Toll Brothers,Home construction,"Douglas C. Yearley, Jr., Chairman and CEO",,,8790000000,11540000000.0,833600000.0,1967.0,Public company,"Douglas C. Yearley, Jr., Chairman and CEO"
DBPedia_460,http://dbpedia.org/resource/TopoTarget,TopoTarget,Biotechnology,"Anders Fink Vadsholt, Bo Jesper Hansen, Francois Martelet, Jean-Louis Misset, Peter Buhl Jensen",,,43979000,585410000.0,140460000.0,2000.0,Public company,"Anders Fink Vadsholt, Bo Jesper Hansen, Francois Martelet, Jean-Louis Misset, Peter Buhl Jensen"
DBPedia_461,http://dbpedia.org/resource/Wimm-Bill-Dann_Foods,Wimm-Bill-Dann Foods,Dairy,"Dmitry A. Anisimov, CFO, Toby Denis Maher, Chairman of the Management Board, Vera V. Eliseeva, Head of Human Resources",,,2180000000,1490000000.0,117000000.0,1992.0,Joint-stock company,"Dmitry A. Anisimov, CFO, Toby Denis Maher, Chairman of the Management Board, Vera V. Eliseeva, Head of Human Resources"
DBPedia_462,http://dbpedia.org/resource/Wirecard,Wirecard,"Financial services, Payment processor, Technology",Thomas Eichelmann,,,2310000000,5502388480.0,326478182.0,1999.0,Aktiengesellschaft,Thomas Eichelmann
DBPedia_463,http://dbpedia.org/resource/Advanced_Energy,Advanced Energy,"Aerospace, Analytical instruments, Architectural glass, Automotive, Data storage device, Food industry, Industrial coating, Intrinsically safe, Medical equipment, Metrology, Pharmaceutical, Solar Cells, Telecommunications network, Thin film","Eduardo Bernal, Emdrem Tan, John Donaghey, John Williams, Juergen Braun, Kevin Fairbairn, Paul Oldham, Peter Gillespie, Randy Heckman, Rory O’Byrne, Steve Kelley, Tom McGimpsey",,,1450000000,1647662.0,134675.0,1981.0,Public company,"Eduardo Bernal, Emdrem Tan, John Donaghey, John Williams, Juergen Braun, Kevin Fairbairn, Paul Oldham, Peter Gillespie, Randy Heckman, Rory O’Byrne, Steve Kelley, Tom McGimpsey"
DBPedia_464,http://dbpedia.org/resource/Agricultural_Bank_of_China,Agricultural Bank of China,Financial services,Zhao Huan,,,153900000000,3286000000000.0,1481898842120.0,1951.0,Public company,Zhao Huan
